locations,latitude,longitude,qty
New York,40.7127837,-74.0059413,17
California,36.778261,-119.4179324,10
Pennsylvania,41.2033216,-77.1945247,10
Louisiana,30.9842977,-91.96233269999999,9
Kentucky,37.8393332,-84.2700179,6
Illinois,40.6331249,-89.3985283,5
North Carolina,35.7595731,-79.01929969999999,5
Ohio,40.4172871,-82.90712300000001,5
District of Columbia,38.9071923,-77.0368707,4
Florida,27.6648274,-81.5157535,3
Michigan,44.3148443,-85.60236429999999,3
New Jersey,40.0583238,-74.4056612,3
Virginia,37.4315734,-78.6568942,3
Indiana,40.2671941,-86.1349019,2
Jamaica,18.109581,-77.297508,2
Lithuania,55.169438,23.881275,2
Missouri,37.9642529,-91.8318334,2
Tennessee,35.5174913,-86.5804473,2
Texas,31.9685988,-99.9018131,2
West Virginia,38.5976262,-80.4549026,2
Alabama,32.3182314,-86.902298,1
Arkansas,35.20105,-91.8318334,1
Canada,56.130366,-106.346771,1
Connecticut,41.6032207,-73.087749,1
Croatia,45.1,15.2000001,1
France,46.227638,2.213749,1
Georgia,32.1656221,-82.9000751,1
Minnesota,46.729553,-94.6858998,1
Mississippi,32.3546679,-89.3985283,1
Nigeria,9.081999,8.675277,1
South Carolina,33.836081,-81.1637245,1
Washington,47.7510741,-120.7401385,1
